name,latitude,longitude
L1,51.771532,-1.341993
L2,51.771524,-1.340544
L3,51.771516,-1.339094
L5,51.771499,-1.336196
K1,51.772431,-1.34198
K2,51.772423,-1.34053
K3,51.772415,-1.339081
J1,51.77333,-1.341967
J2,51.773322,-1.340517
J3,51.773314,-1.339068
J4,51.773306,-1.337619
J5,51.773297,-1.33617
I1,51.774229,-1.341953
I2,51.774221,-1.340504
I3,51.774213,-1.339055
I4,51.774205,-1.337606
I5,51.774197,-1.336157
H1,51.775128,-1.34194
H2,51.77512,-1.340491
H3,51.775112,-1.339042
H4,51.775104,-1.337593
H5,51.775096,-1.336143
G1,51.776027,-1.341927
G2,51.776019,-1.340478
G3,51.776011,-1.339029
G4,51.776003,-1.337579
G5,51.775995,-1.33613
F1,51.776926,-1.341914
F2,51.776918,-1.340465
F3,51.77691,-1.339016
F4,51.776902,-1.337566
F5,51.776894,-1.336117
E1,51.777825,-1.341901
E2,51.777817,-1.340452
E3,51.777809,-1.339002
E4,51.777801,-1.337553
E5,51.777793,-1.336104
D1,51.778724,-1.341888
D2,51.778716,-1.340439
D3,51.778708,-1.338989
D4,51.7787,-1.33754
D5,51.778692,-1.336091
C1,51.779623,-1.341875
C2,51.779615,-1.340426
C3,51.779607,-1.338976
C4,51.779599,-1.337527
C5,51.779591,-1.336077
B2,51.780514,-1.340413
B3,51.780506,-1.338963
B4,51.780498,-1.337514
B5,51.78049,-1.336064
A4,51.781397,-1.3375
A5,51.781389,-1.336051
H6,51.775087,-1.334694
H7,51.775079,-1.333245
H8,51.775071,-1.331796
H9,51.775063,-1.330346
H10,51.775054,-1.328897
H11,51.775046,-1.327448
H12,51.775038,-1.325999
G6,51.775986,-1.334681
G7,51.775978,-1.333232
G8,51.77597,-1.331782
G9,51.775962,-1.330333
G10,51.775953,-1.328884
G11,51.775945,-1.327434
G12,51.775937,-1.325985
F6,51.776885,-1.334668
F7,51.776877,-1.333218
F8,51.776869,-1.331769
F9,51.776861,-1.33032
F10,51.776853,-1.32887
F11,51.776844,-1.327421
F12,51.776836,-1.325972
E6,51.777785,-1.334654
E7,51.777776,-1.333205
E8,51.777768,-1.331756
E9,51.77776,-1.330306
E10,51.777752,-1.328857
E11,51.777743,-1.327408
E12,51.777735,-1.325958